"Daily Weather Observations for Canberra, Australian Capital Territory for September 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Sunday  6 March 2022   IDCJDW2801.202109,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/09/2021,3,22.7,0,,,N,22,15:44,10,73,6,SSW,6,1030.2,22.3,29,,N,11,1027.3
2/09/2021,0,22.7,0,,,N,33,14:28,12,64,,SSW,4,1030.2,21.3,44,1,N,20,1024.2
3/09/2021,4.8,21.5,0,,,NW,43,10:24,14.7,86,,ESE,4,1025.9,20.7,55,8,NNW,26,1020.1
4/09/2021,7.5,12.8,5,,,N,41,8:48,12.2,99,8,NNW,24,1019.6,12.2,100,8,N,11,1015.3
5/09/2021,6.1,11.2,39.4,,,NNW,41,9:57,8.3,78,6,NNW,28,1014.7,8,88,8,NW,11,1015.9
6/09/2021,2.4,15.8,5,,,S,46,10:45,8.7,64,,NNW,6,1025.8,15.4,26,,S,24,1026
7/09/2021,-3,18.8,0,,,WNW,48,14:15,10,63,1,N,30,1026.9,17.5,40,,WNW,30,1024.6
8/09/2021,0.4,16.6,0,,,NNW,37,16:35,4.8,100,8, ,Calm,1032.8,16.1,53,,NNW,20,1028.1
9/09/2021,-0.4,19.9,0,,,WNW,61,17:48,11.1,76,,NNW,22,1028.5,18.9,37,,WNW,28,1022.9
10/09/2021,9.1,21.1,0,,,,,,15.5,50,,N,20,1022.5,20.3,39,1,NW,33,1020.6
11/09/2021,2.6,22.5,0,,,NW,56,10:01,15.5,48,,NW,28,1017.6,21.8,27,,NW,37,1011.9
12/09/2021,10.2,17.7,0,,,NNW,50,1:30,15.2,51,,NW,22,1006.1,13.4,57,8,NW,30,1006.4
13/09/2021,-1,11.6,0.6,,,ESE,41,13:10,4.9,90,7,SE,9,1015.5,9.4,77,8,ESE,15,1015.9
14/09/2021,0.7,14.3,9.4,,,SSE,35,0:05,7.7,65,8,SSE,9,1025.3,13.5,36,,S,17,1022.9
15/09/2021,-2.9,15.7,0,,,E,30,18:28,7.5,67,,S,7,1026,15,41,,NNW,6,1022.4
16/09/2021,4.3,16.1,0,,,ENE,28,19:05,11.2,62,,E,7,1024.8,14.7,42,,N,13,1021
17/09/2021,4.7,18.5,0,,,N,48,14:28,11.4,68,,NNW,9,1021.5,17.8,48,,NNW,28,1017.7
18/09/2021,11.3,17.6,9.6,,,NNW,56,6:59,12,99,8,N,28,1015.1,15,49,7,W,30,1014.3
19/09/2021,4.3,15.5,2.8,,,WNW,56,14:27,11.7,62,1,NW,22,1022.6,14.4,45,,WNW,39,1018.1
20/09/2021,7.7,16.7,0,,,WNW,61,10:09,13.5,54,,NW,33,1013.1,7.7,75,8,W,20,1012.7
21/09/2021,-2,13.9,2.2,,,SSW,54,9:57,6.7,59,8,WSW,7,1018.4,12.3,37,1,S,28,1019.7
22/09/2021,-2.3,16.8,0,,,N,33,15:16,8.3,68,,NW,6,1025.1,16.4,51,,NNW,17,1021.8
23/09/2021,2.6,19.5,0,,,NNW,48,15:11,7.4,99,8,NNW,7,1022.6,19.1,52,,NNW,37,1017
24/09/2021,6.3,20,0,,,NNW,59,13:29,14.6,66,,NNW,31,1014.7,18.6,45,4,NW,37,1009.3
25/09/2021,5.9,15.3,0,,,WNW,48,0:33,11.1,52,,NW,13,1015.9,12.8,49,,NNW,24,1016.3
26/09/2021,3.6,14.3,0.4,,,ESE,35,14:56,8.7,55,,SSE,17,1026.9,13.7,35,,ESE,20,1024.8
27/09/2021,0.2,17.3,0,,,NE,30,9:01,11.3,57,1,NE,17,1025.6,15.6,44,7,NNW,13,1020
28/09/2021,2.6,20.3,0,,,NW,30,10:33,11.5,70,8,W,6,1021.6,19.3,48,1,NW,11,1017
29/09/2021,8.9,14.1,0,,,ESE,30,17:52,14,84,8, ,Calm,1017.7,13.7,99,8,S,6,1013.9
30/09/2021,10.4,17.9,37.8,,,NNW,50,23:27,12.7,88,8,NNW,17,1012.1,15.5,73,1,N,26,1008.7
