"Daily Weather Observations for Canberra, Australian Capital Territory for October 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Saturday  5 March 2022   IDCJDW2801.202110,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/10/2021,6.5,19.1,14,,,NNE,31,16:24,13.9,76,,SW,9,1008.1,15.5,69,8,NNE,15,1003.7
2/10/2021,9.1,19.3,0.4,,,NW,33,12:54,13.9,77,8,WNW,11,1004.9,15.8,70,7,WNW,13,1001.8
3/10/2021,8,18.8,5.6,,,NNW,41,18:12,12.1,92,1,NW,9,1005.1,17.2,56,6,WNW,22,1001.9
4/10/2021,7.1,19.6,0.6,,,WNW,78,20:29,14.1,93,,N,7,1000.5,16.7,50,,NW,43,1000.6
5/10/2021,5.3,13.5,1.6,,,NW,57,9:49,9.7,71,8,NW,20,1007,11.2,59,8,WNW,28,1009.2
6/10/2021,1.6,18.9,0,,,NW,46,13:22,10.9,66,,WNW,4,1016.4,18.7,39,,W,28,1012.3
7/10/2021,4.4,21.2,0,,,NW,52,9:10,15.1,47,,NNW,24,1008.3,20.5,36,,NW,31,1007.9
8/10/2021,1.5,19,0,,,N,31,14:46,9.4,72,,N,7,1018.6,17.9,36,,NNW,15,1015.7
9/10/2021,0.9,22.6,0,,,NW,50,13:53,10.8,78,,N,4,1017.5,22,36,,NNW,31,1013.8
10/10/2021,6.8,21.9,0,,,NNW,37,18:08,12.4,85,4,N,6,1009.9,20.1,53,7,NW,19,1007
11/10/2021,5,15.6,1.2,,,S,35,9:20,8.4,61,,SE,17,1015.9,14.3,40,7,ESE,9,1014.5
12/10/2021,7.3,13.7,0.2,,,E,35,12:28,9.4,74,7,SE,15,1018.9,11.9,66,8,E,22,1016.4
13/10/2021,8.6,15.8,0,,,ENE,39,10:25,10.2,83,7,E,20,1016.2,14.2,69,8,ENE,22,1012.3
14/10/2021,9.2,17.7,27.2,,,W,46,3:24,10.9,98,8,E,2,1008.3,16,83,8,NNW,7,1003.4
15/10/2021,5.7,14.2,3.6,,,NW,48,10:38,9.1,80,8,N,7,1002.6,11.2,82,8,NW,22,999.1
16/10/2021,8,17.5,1.8,,,WNW,56,14:31,10.1,76,8,N,15,1002.8,16.6,47,1,WNW,33,1003.2
17/10/2021,0.3,18.2,0.2,,,N,50,12:48,10,65,3,E,4,1014.2,18.1,53,,NNW,26,1012.2
18/10/2021,2.2,21.2,0,,,S,46,19:41,11.3,73,,WNW,7,1016.6,20.4,35,,NW,30,1013.7
19/10/2021,6.8,16.6,0,,,SSW,57,10:32,14.8,73,4,NW,15,1015.7,15.1,48,,S,28,1017
20/10/2021,7.6,18.2,0.4,,,SSE,44,15:13,12.6,77,8,S,20,1020.3,16.3,65,8,ESE,20,1018.3
21/10/2021,7.4,20.1,0,,,ESE,31,12:24,14.8,72,8,SSE,13,1018.3,18.4,60,8,NE,13,1015.5
22/10/2021,12.5,22.7,0,,,NW,26,11:47,15.7,73,4,NW,6,1018,22,46,1,NW,11,1014.7
23/10/2021,7.2,25.1,0,,,NNW,39,11:27,15.1,86,2,SW,7,1014.3,23.4,50,8,NNW,19,1011.6
24/10/2021,4.4,19.7,0,,,WNW,44,17:28,12.8,61,,S,15,1015.9,18.7,44,7,NNW,20,1013.7
25/10/2021,3.3,17.5,0,,,NNW,31,14:49,10.3,64,,SSW,9,1016.4,16.2,51,8,NW,20,1014.8
26/10/2021,1,19.8,0,,,NNW,33,15:58,10.3,64,,SW,7,1020.8,18.9,40,,NNW,17,1016.7
27/10/2021,7,23.3,0,,,N,37,15:39,13.2,72,,NNW,6,1018.8,22.4,42,,N,24,1014.8
28/10/2021,4.5,26.6,0,,,NW,41,12:51,15.1,61,, ,Calm,1014.6,24.8,30,8,NNW,20,1010
29/10/2021,10.1,20.2,0,,,NW,63,12:01,17,55,8,NW,26,1005.1,18.1,46,2,WNW,35,1005.4
30/10/2021,0.6,17.1,0,,,E,39,19:24,10.1,46,,SE,15,1017.7,15.1,41,7,NW,17,1015.9
31/10/2021,1.3,19.8,0,,,E,28,19:33,10.8,64,,E,7,1025.5,18.8,38,,NW,9,1022.9
