"Daily Weather Observations for Canberra, Australian Capital Territory for November 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Friday  4 March 2022   IDCJDW2801.202111,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/11/2021,3.9,22.8,0,,,N,41,11:52,13.4,72,7,SSW,7,1026,21.9,41,1,NNW,24,1022.3
2/11/2021,6.2,24.8,0,,,ENE,35,17:11,16,72,4,ESE,11,1027,24.5,37,3,NNW,6,1024.1
3/11/2021,4.8,23.8,0,,,NNW,33,13:53,15.5,69,,SSE,6,1025.4,22.5,51,5,WNW,19,1020.8
4/11/2021,14.7,16.2,11.6,,,ESE,28,22:00,14.8,99,8,SSE,2,1020.8,15.7,99,8,NNE,13,1019.6
5/11/2021,12.9,17.2,25.4,,,NE,31,13:56,14.6,97,8,ESE,9,1021.3,16.7,73,8,NE,20,1018.7
6/11/2021,13.5,22.8,0.6,,,WNW,31,13:44,16.7,78,8,NNW,7,1014.7,21.9,60,8,NNW,22,1010
7/11/2021,13.2,25.2,16.6,,,N,43,14:45,17.9,87,6, ,Calm,1008.6,24.7,50,3,NNW,17,1005.8
8/11/2021,14.7,24.9,0,,,NNW,41,15:38,16.8,83,8,NNW,13,1008.3,24.3,31,1,WNW,20,1006.5
9/11/2021,12,23.3,0,,,NW,43,14:13,16.5,69,1,NNE,11,1011.9,23,35,,NW,28,1009.3
10/11/2021,11,21.1,0.8,,,N,31,12:00,16.1,93,8,S,9,1009,20.2,75,8,NNW,19,1004.9
11/11/2021,10.7,23.2,0,,,E,46,16:53,16,53,,N,11,1005.2,22.6,39,7,N,20,1001.4
12/11/2021,8.6,16.3,30.8,,,NW,44,17:11,10,99,8,SE,7,996.9,15.3,77,8,NNW,9,993.2
13/11/2021,8.8,13.4,5.8,,,NNW,37,23:36,9.3,96,8,NW,24,997.2,12.6,85,8,NW,19,997.8
14/11/2021,6.1,14,7.2,,,NW,65,12:45,10.9,61,6,WNW,26,1005.2,9.9,84,8,WNW,24,1002.5
15/11/2021,6.6,13.9,5.6,,,WNW,72,2:13,7.8,66,8,NW,20,1005.8,13.2,56,8,WNW,28,1006.4
16/11/2021,2.4,17.5,0.6,,,NNW,37,14:44,9.5,49,,WSW,6,1015,16.2,36,,NW,7,1015.1
17/11/2021,7.3,20.7,0,,,N,30,15:16,11.5,69,8, ,Calm,1023,19,41,,N,17,1019.8
18/11/2021,5.4,23.3,0,,,NNW,46,15:33,14.5,77,,E,4,1019.6,22.8,36,,NNW,28,1014.5
19/11/2021,11.7,23.1,0,,,WSW,52,11:33,18.1,58,8,N,17,1012.3,20.3,53,8,W,24,1011.6
20/11/2021,13.7,17.3,2,,,SE,30,21:43,15.6,94,8,N,9,1010.1,16.7,86,8,NW,15,1010.5
21/11/2021,10.6,16.6,6.4,,,E,37,11:49,12.9,85,8,SE,13,1016.1,14.9,70,8,E,22,1016.5
22/11/2021,6.8,18.9,0,,,E,35,10:33,14,62,7,SE,20,1023.4,15.9,64,8,ESE,19,1021.1
23/11/2021,8.3,22.5,0,,,NNE,28,14:07,14.8,73,8,E,13,1020.7,21.7,55,2,NNE,13,1017.3
24/11/2021,13.9,21.4,0,,,NNW,26,10:05,18,77,8,WSW,2,1016.8,19,88,8,WSW,9,1014.5
25/11/2021,15,23.7,7.6,,,ENE,30,13:07,20.9,78,6,SSW,6,1011.4,19.1,96,8,E,17,1007.5
26/11/2021,12.9,14.4,26.8,,,SSE,52,13:28,14,88,8,S,17,1010.6,13.7,78,8,SSE,30,1011.3
27/11/2021,9.2,14.6,4.8,,,SE,50,11:29,11,81,8,SSE,28,1019.9,14.4,64,8,SE,19,1019.2
28/11/2021,5,17.8,0,,,ENE,35,17:23,12.7,68,7,SSE,11,1023.2,16.8,53,8,E,19,1020.2
29/11/2021,4.6,24.2,0,,,ENE,35,18:58,12.5,67,6,N,11,1020.6,22.9,37,,NNW,11,1015.8
30/11/2021,8.3,26.4,0,,,E,41,18:38,17.3,65,,SSW,7,1017.7,24.3,43,8,S,11,1014
