"Daily Weather Observations for Canberra, Australian Capital Territory for December 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday  3 March 2022   IDCJDW2801.202112,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/12/2021,13.1,25.4,0,,,SE,37,14:19,19,75,8,N,7,1016.5,25.3,51,8,WSW,15,1013.7
2/12/2021,10.6,28.5,0,,,WNW,33,16:05,20,61,,SSW,2,1016.6,28,38,,N,15,1013.6
3/12/2021,12.2,30.2,0,,,E,50,15:08,21.8,67,,NNE,6,1014.9,26.9,43,8,N,22,1011.8
4/12/2021,13.7,25.6,0,,,E,39,15:27,17.8,67,8, ,Calm,1013.2,24.7,40,8,N,20,1010.5
5/12/2021,10.6,16.6,5,,,ESE,39,13:22,12.9,66,8,ESE,19,1020.7,15.5,66,8,ENE,28,1020.4
6/12/2021,5.9,20.1,0,,,NNE,33,7:38,15,66,8,ENE,19,1018.8,18.1,60,3,NE,15,1014.9
7/12/2021,9.8,25.7,0,,,NW,41,14:05,17.6,75,4,N,7,1012,23.9,50,8,NW,24,1008.6
8/12/2021,13.8,19.7,0.4,,,ENE,37,15:31,14.1,87,8,ESE,6,1012.3,18.7,66,8,NE,19,1011
9/12/2021,11.6,20.2,9.6,,,WNW,30,12:32,13.8,91,8,SSW,9,1010,19.7,60,,SSE,11,1006.8
10/12/2021,9.8,14.1,34,,,SSW,56,7:58,11.7,79,8,SSW,37,1007.3,13.1,74,6,S,33,1009.1
11/12/2021,9.7,19.5,1.8,,,S,50,0:49,13.4,63,8,S,30,1015,18.5,51,8,SSE,19,1014
12/12/2021,7.7,23.2,0,,,E,33,17:11,14.5,55,,SE,13,1018,21.1,42,6,ESE,6,1013.9
13/12/2021,7.3,26.3,0,,,ENE,30,18:48,12.7,90,8,N,6,1015.5,24.6,46,,NNW,7,1011.9
14/12/2021,10.2,28.4,0,,,W,24,18:01,19.1,68,,SW,9,1014.7,26.9,35,2,N,9,1012.6
15/12/2021,10.2,30.2,0,,,WNW,87,15:08,20,62,,N,2,1012.7,29.8,35,2,WNW,17,1008.3
16/12/2021,11.7,25.7,3.8,,,ENE,37,17:09,18.3,75,,NE,6,1012.3,24.2,42,8,N,13,1010.8
17/12/2021,13.3,27,0.2,,,NNW,37,16:02,15.3,75,8,NE,9,1016.4,26.1,39,,NW,20,1012.7
18/12/2021,14.4,30.8,0,,,NNW,89,17:39,22.7,68,4,SE,6,1013.2,28.8,44,7,NNW,30,1010.1
19/12/2021,15.8,22.7,22.4,,,NNW,65,16:58,22.6,66,,NW,9,1009.1,18.1,97,8,NNW,35,1007.7
20/12/2021,13.2,26,7.8,,,N,43,13:37,18.1,48,,NNW,13,1013.2,25.1,44,,NNW,28,1011.7
21/12/2021,7.7,28.6,0,,,N,41,13:37,16.2,59,,NNW,4,1013.6,28,38,,N,28,1010.3
22/12/2021,10.8,30.1,0,,,WNW,50,11:14,20.2,61,, ,Calm,1011.6,28.8,25,,N,20,1008.3
23/12/2021,15.9,29,0,,,E,56,17:45,18.1,78,8,SSE,2,1012.2,26,42,3,WNW,17,1008.6
24/12/2021,15.1,28.2,0,,,NNW,35,14:37,19.1,72,8,N,7,1014.7,26,48,,N,15,1011.4
25/12/2021,17.3,30.5,0,,,E,37,18:12,21.5,75,,N,9,1014.7,29.6,25,,SW,24,1011.6
26/12/2021,15.3,24.6,0,,,E,52,14:52,21.9,72,8,E,7,1014,20.3,73,1,ENE,30,1010.5
27/12/2021,11.7,17.5,2.4,,,ESE,39,14:40,12.4,95,8,E,13,1018.4,16.4,62,8,ESE,24,1017.7
28/12/2021,7.8,20.3,0,,,ESE,43,15:26,12.7,63,6,SSE,22,1020.3,19,47,4,ESE,26,1017.7
29/12/2021,4.8,25.6,0,,,E,31,18:51,14.5,60,,WNW,4,1019.1,24.3,30,,SSE,13,1014.7
30/12/2021,8.9,29,0,,,NNE,28,14:43,18.7,71,, ,Calm,1016.4,27.3,33,7,NE,13,1013.2
31/12/2021,10.7,30.9,0,,,E,39,16:13,20.5,61,, ,Calm,1015.3,30.5,26,1,ESE,20,1011.7
