"Daily Weather Observations for Canberra, Australian Capital Territory for January 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 16:01 UTC on Wednesday  2 March 2022   IDCJDW2801.202201,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/01/2022,10.6,30.5,0,,,NNW,31,10:35,19.1,68,,N,4,1013.8,29.8,35,,NW,13,1008.2
2/01/2022,13.3,32.6,0,,,SE,59,17:39,22.8,64,,N,9,1009.9,31.4,25,6,W,11,1006.3
3/01/2022,13.6,28.9,5,,,E,46,15:49,21.9,57,,SE,7,1010.6,27.4,48,2,ENE,24,1007.8
4/01/2022,12.6,27.6,0.2,,,ESE,35,13:19,18.4,88,8,SE,13,1011.9,26.9,48,,E,17,1009.5
5/01/2022,13.6,26.1,0,,,ESE,43,12:53,20.5,66,8,SE,11,1012.7,25.1,61,8,ESE,26,1010.5
6/01/2022,17.9,27.9,1.6,,,NE,50,13:20,21.4,78,7,NNE,17,1012.8,24.9,65,5,ENE,30,1010.6
7/01/2022,16.8,23.5,35.4,,,NNW,35,11:34,19.7,95,4,SSE,9,1011.9,21.4,76,8,N,11,1010.9
8/01/2022,14.2,28.1,13.2,,,NW,43,13:30,17.7,99,8,W,9,1009.8,27.6,45,1,NW,22,1009
9/01/2022,17.2,27,0,,,NE,37,15:08,19.8,74,8,E,13,1015.8,25.5,60,2,N,9,1014.2
10/01/2022,16.6,31.8,0,,,ENE,28,18:00,22.8,76,7,E,11,1018.8,30.4,33,7,W,9,1016.1
11/01/2022,17.4,25.5,0,,,E,33,17:13,23.6,68,8,ENE,13,1019.7,21.7,86,8,SW,11,1018.5
12/01/2022,17.2,26.8,0.8,,,ESE,43,17:09,19.4,71,8,S,20,1020.7,25,46,8,ESE,24,1018.2
13/01/2022,15.8,26,0,,,E,41,18:38,19.8,70,8,SSE,15,1019.3,24.3,54,2,ENE,20,1015.2
14/01/2022,16.4,28.4,0,,,N,31,16:39,19.3,80,8,SSE,9,1010.3,26.9,54,8,W,9,1006.8
15/01/2022,16.5,28.4,11.2,,,NNW,44,0:01,19.2,86,8,S,7,1005.6,25.2,65,8,SSW,6,1003.4
16/01/2022,13.4,30,1.6,,,NW,31,13:58,20.5,75,6,ENE,9,1008.8,28.7,49,,NW,13,1007
17/01/2022,15.4,28.1,0,,,NNW,30,11:20,21.1,75,8,SE,7,1010.5,24.8,56,8,NW,13,1010.1
18/01/2022,18.4,22,0,,,ENE,30,17:44,21.7,75,7,NNE,9,1012.1,18.5,88,8,NE,11,1012.4
19/01/2022,14.2,21.4,12.6,,,SE,54,18:31,17.1,71,7,SSE,15,1020,19.3,60,7,ESE,31,1021.4
20/01/2022,14,18.7,0.2,,,SE,46,8:38,15.9,69,8,SE,20,1027.4,17.8,66,8,ESE,22,1027.7
21/01/2022,11.1,24.5,0,,,E,39,16:08,17.7,63,5,SE,11,1028.4,22.6,48,4,ESE,13,1026.1
22/01/2022,7.8,24.7,0,,,NE,37,11:35,16.6,71,,NW,7,1024.7,23.1,43,1,E,15,1020.8
23/01/2022,10.9,25.9,0,,,E,35,13:53,17.9,73,8,SSE,11,1018.7,24.3,50,4,E,24,1014.5
24/01/2022,10.8,25.7,0,,,ESE,28,19:41,17.6,66,,ESE,11,1014.2,24.4,48,,E,13,1010.3
25/01/2022,15.7,28.5,0,,,ENE,33,19:52,19,70,8,E,6,1010.9,26.5,37,5,N,7,1007.9
26/01/2022,15.5,27.6,0,,,ENE,35,16:51,19.7,74,8,ESE,2,1012.8,26.4,51,3,NE,11,1011.1
27/01/2022,11.4,28.5,0,,,N,35,14:36,18.1,67,5,ENE,13,1015.2,25.7,47,6,ENE,15,1011.7
28/01/2022,15.4,28.8,0,,,NNW,35,11:58,20.8,79,7,NNE,2,1015.3,25.7,70,8,N,19,1012.9
29/01/2022,19.8,25.3,1,,,SW,30,11:24,22.1,96,8, ,Calm,1014.6,21.6,97,8,S,6,1014.3
30/01/2022,18.2,27.1,10,,,E,31,18:12,20.8,81,8,ENE,11,1015.3,25.3,58,8,ENE,15,1012.4
31/01/2022,17.4,28.4,5.2,,,S,30,16:17,20.3,87,8,SE,4,1010.6,26.3,55,8,W,7,1006.6
