"Daily Weather Observations for Canberra, Australian Capital Territory for February 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Monday  7 March 2022   IDCJDW2801.202202,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/02/2022,14.1,29.4,0.4,,,NNW,43,18:12,17.4,100,8, ,Calm,1004.2,28.9,54,8,WNW,19,1000.3
2/02/2022,17.4,23.1,0,,,E,33,13:03,18.2,77,8,SSE,13,1003.8,19,74,7,ENE,26,1004.3
3/02/2022,9,23.2,0,,,S,54,21:28,15.8,58,4,S,20,1008.6,22.2,37,1,SSE,15,1006.8
4/02/2022,6.7,20.7,0,,,ESE,52,15:06,14.4,68,8,SSE,20,1015.8,18.8,51,8,SE,24,1016.7
5/02/2022,11.8,22.4,0,,,ESE,44,8:04,15.8,67,6,ESE,31,1020.2,21.3,43,5,ESE,26,1019.1
6/02/2022,8.4,22,0,,,SE,46,16:42,15.2,66,7,SE,20,1023.9,20.8,45,4,ESE,26,1023.7
7/02/2022,7.8,23.6,0,,,ESE,46,15:16,14.5,74,8,SE,13,1023.8,22.5,42,3,ESE,24,1019.8
8/02/2022,9.2,24.9,0,,,S,33,18:37,16.8,60,,SSE,17,1017,23.9,35,,WSW,13,1012.2
9/02/2022,10,27.4,9.2,,,WNW,46,13:32,13,100,8,NNW,6,1011.9,27.1,32,6,W,31,1009.6
10/02/2022,10.5,30.3,0,,,ENE,39,18:23,18.4,68,,NNW,6,1012.9,28.9,34,1,WNW,26,1010.8
11/02/2022,14,24.7,0,,,E,43,16:32,17.6,78,8, ,Calm,1017.4,22.9,54,7,NE,22,1015.4
12/02/2022,10.3,24.4,0,,,ESE,41,17:17,17,62,,SE,13,1018.8,22.3,46,6,ESE,24,1017.2
13/02/2022,9.8,26.8,0,,,NNE,31,17:30,16.2,74,7,S,9,1021.7,24.5,40,,NW,13,1019.4
14/02/2022,10.9,30.6,0,,,NNE,31,16:29,17.6,77,, ,Calm,1023.9,28.2,31,,WSW,7,1021.3
15/02/2022,11.1,32.7,0,,,ENE,46,15:12,18.9,70,,S,6,1023.6,30.8,28,4,ENE,15,1019.8
16/02/2022,11.7,31,0,,,ESE,30,10:10,18.8,76,,E,4,1019.5,29.6,24,,NNW,19,1014
17/02/2022,13.1,30.7,0,,,WNW,39,16:07,19.3,67,3, ,Calm,1010.3,28.8,38,2,NW,20,1007.7
18/02/2022,10.6,29.2,0,,,ESE,46,17:46,18.4,74,,N,7,1010.1,27.7,21,,NNW,13,1009.4
19/02/2022,14.1,24,0,,,ENE,33,12:14,16.1,65,8,SE,9,1020,22.6,50,5,NE,17,1017.1
20/02/2022,12.2,30.3,0,,,WNW,46,12:31,17.8,71,1,NE,7,1012.6,27.4,47,8,NNW,20,1006.1
21/02/2022,12.3,29.2,0,,,E,50,18:51,17.6,76,,S,9,1008.4,28.2,25,,W,24,1007.7
22/02/2022,16,22.1,0,,,E,44,16:58,17.2,72,8,S,13,1017.8,21.2,64,4,E,28,1017.3
23/02/2022,14.3,25.5,0,,,NE,41,12:45,18.9,94,8,SE,11,1019.9,23.4,77,7,ESE,19,1017.7
24/02/2022,16.5,27,3.2,,,ESE,41,15:58,19.9,92,8,SSE,9,1018.6,26.4,54,8,SW,9,1015.1
25/02/2022,17.8,22.9,0.6,,,ENE,33,15:02,19.1,92,8,S,13,1016,22.4,69,8,ESE,15,1013.8
26/02/2022,15.9,22.8,9.4,,,E,31,15:38,17.5,99,8,SE,6,1016.4,21.9,67,8,ENE,15,1014
27/02/2022,14.2,25.8,32.4,,,ENE,30,17:06,17,84,8,SE,6,1015.1,23.9,54,8,NNE,9,1012.3
28/02/2022,16.5,26.3,0.2,,,ENE,43,17:07,18.9,96,8,S,11,1014.3,24.6,58,8,ENE,17,1012.1
