"Daily Weather Observations for Canberra, Australian Capital Territory for March 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Sunday 12 March 2023   IDCJDW2801.202203,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/03/2022,17.1,24.9,0,,,ESE,48,14:57,19,77,8,ESE,13,1013.1,21.8,68,8,E,24,1012.2
2/03/2022,15.8,19.5,3.6,,,SE,39,11:26,16.8,82,8,SSE,15,1014,18.3,87,8,SE,11,1012
3/03/2022,15.1,25.6,2.2,,,SE,48,12:36,18.6,71,5,SSE,20,1012.9,25.1,55,3,SE,28,1011.9
4/03/2022,15.2,27.9,0,,,SE,33,23:50,20,74,,SE,11,1013.8,26.9,48,1,E,15,1010.9
5/03/2022,15.9,26.7,0,,,SSE,41,19:28,19,90,8,ENE,6,1007.6,25.7,60,7,WNW,11,1003.3
6/03/2022,15.4,25.1,8.4,,,SSE,48,13:25,17.9,83,8,SSE,17,1008.9,24,61,8,SE,26,1009
7/03/2022,16.1,23.6,0,,,S,44,10:47,18.3,74,6,S,28,1012.9,22.3,66,8,S,26,1010.4
8/03/2022,17.2,20.4,1,,,S,56,22:35,18.4,87,6,S,19,1009,19.5,75,8,S,30,1008.8
9/03/2022,13.8,20.9,5,,,S,76,7:08,16,68,8,S,44,1013,19.3,55,8,S,33,1013.5
10/03/2022,11.3,21,0,,,SSE,39,1:21,13,61,8,SSE,17,1018.4,20,44,,S,20,1015.9
11/03/2022,5.7,22.8,0,,,E,44,20:17,10.8,69,,SE,13,1020.2,21.5,36,,WSW,11,1017.4
12/03/2022,10.7,24.8,0,,,E,37,18:50,17.1,70,,E,7,1022.7,23.6,36,2,WSW,9,1020.5
13/03/2022,9.2,24.3,0,,,E,33,16:28,14.3,91,8,SE,6,1025.2,22.3,45,8,NE,9,1021.7
14/03/2022,10.3,25.3,0,,,NE,39,15:35,13.6,96,5,ESE,9,1022.9,24,41,1,E,13,1019.7
15/03/2022,12.3,23.6,0,,,ESE,35,15:17,16.4,83,8,SE,9,1023.3,21.4,54,8,E,22,1020.4
16/03/2022,9.3,21.4,0,,,NNE,24,11:07,15.8,79,8,SSE,4,1021.2,20.6,66,8,E,9,1018.1
17/03/2022,15.4,25.8,3.6,,,WNW,31,14:06,17.9,79,8,ESE,7,1018.4,25.2,52,4,NW,17,1015.3
18/03/2022,11,27.6,0,,,ESE,35,16:02,17.2,86,,SE,9,1017.9,25.3,46,6,ENE,15,1016
19/03/2022,14.9,25.2,0,,,NE,28,18:03,17,73,8,SE,17,1020.8,23.5,52,1,ENE,7,1018.3
20/03/2022,14.1,27.5,0,,,ENE,30,18:01,15.5,83,8,W,9,1018,26.5,47,,WSW,7,1014.5
21/03/2022,11.1,25.6,0,,,NNW,22,15:09,15.9,77,5,ESE,11,1017.8,23.2,53,,N,11,1014.2
22/03/2022,9.1,28.6,0,,,NNW,33,12:54,14.7,86,,SE,7,1014,28.1,39,,W,15,1008.6
23/03/2022,13.8,26.9,0,,,ENE,48,16:55,18.3,74,,SE,6,1009,26.4,36,6,W,11,1008.8
24/03/2022,13.7,19.6,0,,,E,26,16:07,15.5,76,7,E,2,1016.2,18.1,72,8,E,13,1015
25/03/2022,10.6,22.2,0,,,ENE,41,14:48,16.9,72,2,SSE,11,1019.5,20.9,56,,E,28,1018.9
26/03/2022,8.9,21.4,0,,,ESE,35,17:01,15.8,76,2,SE,9,1022.9,21.2,53,4,E,19,1020.5
27/03/2022,7.7,23.1,0,,,E,37,15:25,12.9,99,8, ,Calm,1021,21.2,52,7,E,9,1016.9
28/03/2022,11.7,24.1,0.2,,,ESE,37,14:54,15.7,90,7,SE,6,1015.2,21.1,64,8,E,22,1012.2
29/03/2022,13.9,24.3,0.2,,,ESE,33,16:55,16.7,72,8,S,13,1014.1,23.2,49,8,SE,11,1011.2
30/03/2022,13.7,23.4,0,,,ENE,28,14:17,18.2,76,8,S,11,1012.3,23.1,53,8,NNE,7,1010.1
31/03/2022,9.2,21,1.2,,,S,63,15:21,14.9,67,6,S,17,1015.9,19,53,6,SE,26,1016.1
