"Daily Weather Observations for Canberra, Australian Capital Territory for April 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Saturday 11 March 2023   IDCJDW2801.202204,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/04/2022,8.5,17.7,0,,,S,63,12:20,11.1,66,8,S,35,1019.9,15.1,50,7,S,41,1019.1
2/04/2022,10.7,13.6,0,,,S,59,5:19,11.9,64,8,S,22,1016.8,13,86,8,W,9,1014.9
3/04/2022,10.2,19.6,9,,,NW,46,14:00,13,88,8,N,22,1013.6,16.9,65,8,WNW,31,1011.2
4/04/2022,8.7,20.8,0,,,WNW,41,13:21,14.6,79,8,NNW,24,1014.6,19.9,51,1,W,24,1013.2
5/04/2022,3.3,23.6,0,,,E,37,19:22,12.2,83,,SSW,2,1017.4,23.1,39,,NW,11,1014.6
6/04/2022,11.9,20.1,0,,,ESE,33,20:12,16.4,75,8,SE,9,1019.9,19.3,59,6,SE,19,1018.5
7/04/2022,11.8,15.1,10.6,,,SE,30,16:45,13.4,97,7,SSE,9,1023.7,14.9,85,8,SE,11,1022.3
8/04/2022,11.8,17.7,10.4,,,E,33,22:32,14.4,93,8,SE,9,1025.2,16.9,81,8,ESE,19,1022.7
9/04/2022,13.5,21.6,0.2,,,E,31,17:31,17,74,8,E,15,1025.6,20.8,63,3,ENE,17,1021.8
10/04/2022,14.3,23.8,0.2,,,NW,24,15:23,17,76,8,ENE,2,1022.7,23.2,52,1,W,9,1018.5
11/04/2022,7.6,24,0,,,SE,26,22:44,13.3,99,7,ENE,7,1020,21.8,60,8,W,9,1017.7
12/04/2022,10.4,19.7,0,,,E,33,19:14,13.8,72,8,SE,4,1022.5,18.8,52,5,E,13,1019.6
13/04/2022,9.5,20.3,0,,,S,41,14:49,12.6,72,7,SE,6,1024.8,19.3,41,2,ESE,15,1022.6
14/04/2022,3.5,21.7,0,,,N,19,12:21,11.6,80,,SW,7,1028,21.3,47,,NNW,6,1023.9
15/04/2022,4.6,22.2,0,,,NW,28,12:42,9.8,100,8,SW,6,1025.4,20.6,53,8,NW,15,1020.9
16/04/2022,5.8,23,0,,,E,28,15:52,14.4,71,6,SSE,9,1023.6,21.9,37,2,ESE,13,1020
17/04/2022,3.6,22.7,0,,,NNW,33,14:56,12.5,85,,WNW,2,1021.3,21.4,46,1,NNW,24,1016.9
18/04/2022,4.2,23,0,,,NNW,20,13:37,13.6,79,7, ,Calm,1019.8,22.6,50,,NW,9,1016.8
19/04/2022,10.2,19.5,0,,,NNW,48,11:08,15,88,8, ,Calm,1016.7,16.1,69,8,WNW,13,1013
20/04/2022,9.5,19.9,33.4,,,NNW,37,13:57,13.6,84,,NNW,17,1015.4,19.1,45,,NW,26,1015.3
21/04/2022,4.8,20.2,0.2,,,E,33,17:26,10.4,92,,SE,7,1024.5,20.2,43,4,WSW,7,1023
22/04/2022,3.1,16.6,0,,,ENE,30,16:16,11.2,71,3,SSE,11,1031.7,15.8,61,8,E,17,1029.5
23/04/2022,3.7,19.6,0,,,E,26,18:07,11.1,83,8,SSW,9,1032.7,18.4,56,,NNE,13,1029.6
24/04/2022,7.3,20,0,,,E,30,19:17,11.4,80,,SE,7,1033.9,17.2,56,1,ENE,19,1029.7
25/04/2022,4.4,19.8,0,,,NE,26,14:08,10.1,84,8,SE,7,1030.4,17.6,62,8,NNE,13,1026
26/04/2022,8.1,18.8,0,,,NE,28,12:30,13,87,8,ESE,9,1025.4,17.8,65,8,E,15,1020.5
27/04/2022,10.6,16.6,0,,,NNE,26,13:23,15.2,84,8,SE,9,1020.7,14.8,92,8,NNE,7,1018.2
28/04/2022,13.5,19,6.2,,,NW,26,15:16,14.9,100,8,S,2,1019.4,18.2,81,8,NNW,11,1017.5
29/04/2022,12.4,22.4,0.6,,,NW,39,14:11,17.9,82,,NW,20,1022.1,22,51,,NW,24,1019
30/04/2022,12.9,17.8,10.6,,,NW,46,11:02,13.7,85,8,NNW,26,1016.5,17,42,,WNW,26,1016.7
