"Daily Weather Observations for Canberra, Australian Capital Territory for May 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Friday 10 March 2023   IDCJDW2801.202205,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/05/2022,0.4,18.1,0,,,NNW,20,15:24,7.8,80,,ESE,4,1024.2,17.8,42,,N,13,1021.8
2/05/2022,0.4,19.9,0,,,WNW,19,13:34,8.8,89,,NNW,6,1025.9,19.3,49,,W,11,1022.4
3/05/2022,1.9,20.1,0,,,NNW,28,13:43,10.3,91,,NW,2,1023.3,19.5,49,,NNW,19,1019
4/05/2022,2.5,16.4,0,,,NNW,37,12:04,9,97,7,N,2,1018.3,16.2,79,8,NW,15,1014.7
5/05/2022,8.9,17.2,4.8,,,NNW,37,12:16,14,83,3,NW,13,1015,15.4,32,8,WNW,20,1013.6
6/05/2022,-1.7,13.9,0,,,WNW,48,13:19,6.6,75,, ,Calm,1020,11.4,47,,NW,28,1018.5
7/05/2022,2.9,12.7,0,,,WNW,48,11:31,7.8,70,5,NW,26,1021.5,11.7,55,8,WNW,24,1020.7
8/05/2022,0.7,16.7,0,,,NNW,30,2:47,8.5,75,,W,4,1025.4,15.9,45,,N,9,1023.6
9/05/2022,2.2,17.1,0,,,E,28,18:54,11.2,72,1,SSW,7,1029.9,15.8,55,8,NE,17,1028.4
10/05/2022,7,16.3,0,,,SE,30,12:18,12.4,84,8,SE,7,1032.7,16,72,5,E,15,1030
11/05/2022,10.1,15,0.8,,,ESE,28,10:56,13.3,88,8,SSE,9,1031.2,14,87,8,E,9,1027.8
12/05/2022,11.8,15.6,18.2,,,SSE,15,0:32,13.3,99,8,SSE,9,1022.4,14.9,99,8, ,Calm,1018.4
13/05/2022,13.3,20.9,27,,,N,19,10:58,15.4,100,8, ,Calm,1019.4,20.1,71,8,NNW,9,1015.7
14/05/2022,9.8,21.5,0.2,,,NNW,35,13:01,14.1,100,8, ,Calm,1017.4,20,71,8,NW,20,1014.5
15/05/2022,14.1,16.7,1.6,,,NW,41,13:46,16.1,100,8,N,13,1015,14.5,79,6,NW,31,1013.3
16/05/2022,10.7,18,1.4,,,WNW,48,12:54,14.6,65,,NW,19,1015.7,16.4,51,2,WNW,24,1014
17/05/2022,5.2,14.8,0,,,WNW,44,13:14,11.1,57,,NW,19,1020.3,13.3,52,,WNW,26,1018.6
18/05/2022,5.8,13.9,0,,,WNW,59,8:43,11.5,53,,WNW,39,1019.5,12.5,52,1,WNW,30,1019.1
19/05/2022,-2.9,14.3,0,,,SW,26,12:52,3.2,95,,N,7,1027.3,13.7,43,,SE,13,1025.5
20/05/2022,0.2,15.1,0,,,E,24,14:48,8.4,72,2,SE,11,1034.1,13.3,61,5,E,15,1032.2
21/05/2022,0.7,16.7,0,,,ESE,26,13:11,8.9,85,,SE,7,1034.8,14.3,52,1,E,15,1031.2
22/05/2022,4.2,16.8,0,,,ENE,30,17:27,9.3,73,5,SE,11,1031.5,16,52,,ENE,17,1028.1
23/05/2022,1.2,15.3,0,,,E,26,11:47,8.6,90,,ESE,9,1031.2,14.4,64,8,E,13,1028.8
24/05/2022,1.5,17.3,0,,,E,30,14:38,9.1,100,, ,Calm,1030.5,16,44,2,ENE,19,1026.7
25/05/2022,1.2,16.4,0,,,NE,22,12:43,8.3,96,8,SSE,9,1027,14.9,59,2,ENE,15,1022.5
26/05/2022,4.2,17.9,0,,,NNW,28,13:17,8.1,91,8,SE,7,1022,16.1,62,8,NW,19,1018.9
27/05/2022,6.4,18,0,,,NE,28,20:46,9.4,99,8,NNW,2,1020.9,16.5,63,5,N,15,1016.9
28/05/2022,9.2,15.8,19.8,,,NNW,31,14:52,10.7,100,8, ,Calm,1014.3,13.5,68,,NW,22,1010.3
29/05/2022,0.7,12.7,0.2,,,NNW,33,14:53,4.3,100,8, ,Calm,1010.6,11.4,56,1,NNW,28,1006.3
30/05/2022,-2,8,0,,,NNW,43,16:40,4.6,99,8,SW,9,1000,7.4,99,8,ESE,9,988.7
31/05/2022,4.6,9.6,17,,,WSW,65,12:28,5.5,89,8,NW,35,995.9,5.7,90,8,W,17,996.4
