"Daily Weather Observations for Canberra, Australian Capital Territory for June 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Thursday  9 March 2023   IDCJDW2801.202206,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/06/2022,1.4,8.3,8.6,,,WNW,57,11:01,4.2,76,8,N,24,1007.3,7.7,61,4,WNW,30,1010.1
2/06/2022,-4,11,0,,,NW,24,16:12,0.7,99,,WNW,7,1023,10.1,52,,NW,9,1020.1
3/06/2022,-2.8,10.4,0,,,NNW,31,16:45,2.5,99,8, ,Calm,1018.1,9.5,66,8,NNW,17,1012.2
4/06/2022,2.5,10.3,0,,,NW,46,9:48,7.8,74,,NW,26,1013.4,8.9,83,8,N,26,1012.2
5/06/2022,7,12,0.6,,,NW,70,13:40,9,92,8,NNW,39,1010.3,9.6,87,8,NW,43,1006.9
6/06/2022,2.8,9.6,7.2,,,NNW,65,1:54,5.5,85,8,NW,35,1004.9,7.8,68,8,NW,33,1007.2
7/06/2022,4.1,9.8,1,,,NNW,44,6:51,6.3,86,6,NW,24,1011,4.7,91,7,WNW,24,1010.3
8/06/2022,1.5,10.2,2.8,,,WNW,44,14:41,6,70,,NW,20,1015.4,9,54,,WNW,31,1015.2
9/06/2022,2.9,11.4,0,,,W,52,10:35,7.7,61,,WNW,28,1014.7,9.1,63,8,WNW,28,1014.1
10/06/2022,4.8,12.6,0,,,W,54,13:54,8.7,60,,WNW,24,1016,11.1,54,,WNW,33,1014.7
11/06/2022,1.8,10.1,0,,,WNW,65,13:41,7.1,73,,NNW,17,1017.5,8.8,56,,WNW,33,1014.4
12/06/2022,5.2,11.8,0,,,WNW,57,0:19,8.9,65,3,NW,19,1014.6,10.9,58,,WNW,31,1013.6
13/06/2022,-2.4,10,0,,,NW,24,15:37,2.9,99,8, ,Calm,1023.3,9.6,61,,NNW,13,1021.8
14/06/2022,-3.1,6.8,0,,,NW,28,14:19,3.7,87,8,N,2,1025.4,6,74,7,NNW,11,1022.5
15/06/2022,-4.5,12.6,0,,,NW,39,13:49,5.6,81,,N,20,1021.8,11.5,59,1,NW,28,1018.9
16/06/2022,4.3,13.5,0.2,,,NW,41,12:36,8.5,89,8,N,17,1018.8,11.1,79,7,NNW,24,1016.7
17/06/2022,1.8,13.9,0,,,SSW,30,12:48,5.2,100,8,S,7,1022.4,12.7,56,8,SE,11,1021.4
18/06/2022,-2.4,14.4,0,,,S,22,11:46,5.4,99,,S,6,1028.8,14,52,1,ENE,4,1026.7
19/06/2022,-4,14.8,0.2,,,ESE,19,12:47,2.7,99,,N,6,1030.5,14.8,51,4,NNE,9,1027.2
20/06/2022,1.8,13.7,0,,,SE,17,2:03,6.9,99,8, ,Calm,1026.8,13.5,61,7,N,9,1023.2
21/06/2022,0.5,11.4,0,,,NW,37,11:26,4.6,100,8, ,Calm,1021.3,11.2,85,8,NW,24,1019.2
22/06/2022,-2.7,13.8,2.4,,,NW,26,15:49,2.2,99,8, ,Calm,1026.3,13.6,56,2,NW,17,1024.5
23/06/2022,-0.9,13.1,0,,,NNW,35,14:07,6.8,100,8,SW,7,1026.3,12.7,69,4,NNW,22,1022
24/06/2022,6.7,14.8,0,,,NNW,48,11:55,10.5,79,8,N,30,1019.5,13.6,63,4,WNW,28,1016.9
25/06/2022,4.2,14.4,0,,,WNW,46,12:31,9.8,73,,NW,17,1021.9,13.5,47,,WNW,22,1021.8
26/06/2022,-1.8,14.7,0,,,NW,35,13:37,5,99,,SE,11,1025.6,13.2,51,,NW,20,1023.6
27/06/2022,-0.6,11.2,0,,,S,43,10:24,6.6,71,,S,15,1029.2,10.8,36,,S,24,1028.8
28/06/2022,-6,12.5,0,,,SSE,20,0:48,2.2,86,,E,9,1033.8,11.7,37,,W,11,1030.3
29/06/2022,-5,12.2,0,,,NNW,39,15:44,0.3,97,8,S,7,1028.4,10,69,6,NNW,26,1023.5
30/06/2022,0.1,13.5,0,,,E,20,18:16,4.9,99,8,NNW,2,1026.1,12.2,54,8,N,2,1023.8
