"Daily Weather Observations for Canberra, Australian Capital Territory for July 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Wednesday  8 March 2023   IDCJDW2801.202207,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/07/2022,0.8,7.6,1.8,,,S,20,22:19,5.4,99,8,SE,6,1028.6,7,99,8,SSE,6,1026.9
2/07/2022,5.3,10.5,9,,,SSE,43,20:32,7.6,82,7,S,20,1027.6,9.8,72,8,SSE,20,1025
3/07/2022,7.6,12.7,0,,,SSE,56,12:53,8.6,81,7,S,24,1025.6,11.4,66,8,SE,30,1022.9
4/07/2022,6.6,14.2,0,,,SSE,56,12:44,9.2,67,,S,33,1022.5,11.4,58,8,SSE,22,1021.3
5/07/2022,6.3,13.3,0,,,SE,46,12:27,8.2,64,,S,26,1025.9,11.1,59,8,SSE,26,1024.2
6/07/2022,4.5,13.8,0,,,SE,30,11:38,9.9,76,8,S,13,1024.2,13.7,62,8,ESE,15,1020.6
7/07/2022,3.8,14.4,0,,,S,22,11:20,7.7,91,,ESE,2,1015.3,14.1,54,,NW,9,1011.5
8/07/2022,-3.8,11.2,0,,,NW,50,12:29,5.8,83,,NW,20,1013.1,8.5,62,4,WNW,28,1011.6
9/07/2022,-3.5,12.5,0,,,SSW,31,13:26,1.4,99,, ,Calm,1020,11.1,50,8,S,17,1019.3
10/07/2022,0.7,13.2,0,,,SSE,43,10:19,7.1,74,,SE,9,1027.6,11.9,52,2,ESE,22,1026.7
11/07/2022,-2.6,12.8,0,,,WSW,17,13:19,2.9,95,7,N,4,1028.2,11.6,45,7,N,11,1022.7
12/07/2022,-4.5,12,0,,,NW,22,15:35,-0.4,99,,NNW,4,1019.4,11,54,8,NW,13,1015.2
13/07/2022,-0.4,11.4,0.6,,,SSE,35,16:39,3.7,99,8,S,7,1016.5,10.2,53,6,S,13,1015.3
14/07/2022,-0.5,13,0,,,S,43,5:28,6.8,63,,S,24,1024.8,12.6,34,,SW,4,1024.5
15/07/2022,-5.9,11.5,0,,,N,30,14:18,0.1,88,,E,6,1029.5,10.6,52,,NNW,17,1026.2
16/07/2022,-3.2,10.6,0,,,NW,41,15:29,1.6,97,8,NE,2,1026.1,10.1,60,3,NW,26,1021.5
17/07/2022,1.5,13.8,0,,,NNW,63,2:35,8.7,61,,NNW,31,1016,10.7,63,7,NNW,43,1011.9
18/07/2022,2.9,11.2,1.8,,,NW,41,0:30,6.1,61,,WNW,24,1017,10.4,38,,WNW,13,1018.5
19/07/2022,-3.4,11.9,0,,,SE,35,13:54,4,72,,SSE,19,1030.1,9.3,52,2,ESE,17,1029
20/07/2022,-1.9,12.9,0,,,SE,31,15:47,3.2,81,,SE,7,1034.1,11.7,58,8,E,17,1032
21/07/2022,3.2,11.2,0.2,,,ENE,31,14:35,6.9,99,8, ,Calm,1034.2,10,93,8,ESE,20,1033.4
22/07/2022,2.4,14,1,,,ESE,35,13:04,7.7,90,1,SSE,13,1033.5,12.3,69,5,E,20,1029.2
23/07/2022,1.8,15.6,0,,,NNE,26,14:10,6.5,99,8,E,4,1029.2,13.5,59,8,NE,13,1024.5
24/07/2022,3,15.6,0,,,WSW,17,14:56,7.6,96,8,E,11,1025.3,15.3,60,,WSW,9,1021.6
25/07/2022,-0.1,14.5,0,,,W,20,14:53,6.2,99,8,SE,11,1022.4,13.5,67,7,W,15,1017
26/07/2022,1.7,12.6,2.6,,,W,46,13:46,9.8,91,8,NW,24,1012.2,9.5,55,7,WNW,28,1011.5
27/07/2022,-2,15.5,0,,,NNW,35,14:55,4.7,79,, ,Calm,1019.6,13.9,50,,NW,31,1018.2
28/07/2022,-1.1,15.8,0,,,WNW,52,14:33,8.6,89,,WNW,19,1024.7,12.9,49,4,WNW,24,1022.1
29/07/2022,-3.6,12.5,0,,,S,33,14:19,2.7,96,, ,Calm,1026.4,11.4,34,,S,19,1024.5
30/07/2022,-6.5,12.2,0,,,NNW,22,14:31,0.1,84,,S,6,1030.3,11.5,32,,NW,13,1026
31/07/2022,-5.2,9.7,0,,,NNW,31,14:39,-0.5,92,7, ,Calm,1024.6,8.1,89,8,NNW,19,1019.8
