"Daily Weather Observations for Canberra, Australian Capital Territory for August 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 16:00 UTC on Tuesday  7 March 2023   IDCJDW2801.202208,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/08/2022,-0.5,12.8,10.8,,,NNW,59,3:16,8.1,84,8,NNW,26,1015.9,11.8,46,,NW,28,1016
2/08/2022,-0.6,14.1,0,,,NNW,33,15:59,5.5,85,,SE,2,1021.6,13.7,40,,NW,22,1017.4
3/08/2022,2.4,17.5,0.4,,,NW,57,11:16,9.7,93,8,NW,28,1014.4,16.6,66,3,NW,30,1010.9
4/08/2022,9.1,14.1,23.4,,,NNW,59,12:24,12.4,99,8,NNW,28,1008.2,12.9,99,8,N,26,1002.2
5/08/2022,6.6,15.9,43.8,,,NW,63,15:01,10.9,86,8,NW,15,1006.7,14.5,40,,NW,41,1003.7
6/08/2022,6.9,11.7,0.2,,,NNW,41,0:10,7.9,77,8,NNW,20,1009.1,9.6,78,8,NNW,20,1009.5
7/08/2022,3.8,13.3,0.8,,,S,30,12:55,6.4,88,8,SSW,9,1017.4,10.7,52,6,S,15,1017.3
8/08/2022,-2.4,13.5,0,,,W,31,14:01,3.3,99,8,NNE,7,1025,9,67,2,WNW,20,1022.5
9/08/2022,-2.5,13.4,0.2,,,SSW,30,10:51,5.5,83,,SSE,9,1027.4,11.5,53,8,SSE,7,1025.1
10/08/2022,-2.2,14.1,0,,,N,22,15:31,3.9,81,,SSE,6,1030.8,13.2,42,,NNE,13,1026.7
11/08/2022,0.5,10.6,0,,,NNW,43,17:42,4.3,100,8, ,Calm,1024.8,8.8,86,8,N,9,1020.2
12/08/2022,4.3,15.2,5.4,,,NNW,41,1:26,10.4,91,6,NNW,24,1018.1,12,72,8,N,28,1015.6
13/08/2022,4.5,14.2,10.8,,,NNW,43,15:54,7.3,99,8,WNW,13,1014.3,13.5,53,2,NW,30,1009.7
14/08/2022,5.1,10.5,1.2,,,NW,50,10:37,8.1,73,1,NW,28,1008.7,8,82,8,NW,28,1006.9
15/08/2022,6.6,12.7,0,,,NW,54,10:55,8.7,64,2,NW,31,1008.7,11.2,46,8,WNW,31,1006.8
16/08/2022,2.9,14.8,0,,,S,37,16:11,8.9,75,5,NNW,20,1011.2,12.9,56,1,NNW,26,1011.1
17/08/2022,1,13.7,2.8,,,NW,31,14:55,2.1,100,8,SW,2,1022.8,12.4,63,2,NNW,20,1019.6
18/08/2022,2.1,15.9,0.2,,,NNW,59,14:22,9.7,88,8,NNW,20,1017.3,13.8,57,,NNW,44,1012.5
19/08/2022,8.5,14.1,0.2,,,S,50,12:05,9.9,85,8,NW,26,1012.5,11.6,69,8,NNW,17,1014.3
20/08/2022,4.4,13,1,,,NW,52,10:07,7.9,75,7,NNW,20,1020.5,12,67,4,NNW,28,1020
21/08/2022,0.4,14.2,0,,,NNW,39,14:43,6.5,72,,WNW,6,1027.7,13.5,47,,NW,31,1024.6
22/08/2022,4.3,15.4,0,,,NW,54,10:58,9.3,67,,NNW,26,1020.2,13.5,56,6,NW,31,1014.9
23/08/2022,4.4,6.8,3.4,,,NNW,57,1:35,4.4,91,,SSW,30,1011.5,6.1,70,,SSE,24,1013.5
24/08/2022,-6.3,13.4,2.2,,,WNW,43,16:05,2.4,86,,NNW,4,1023.6,12.5,50,,WNW,26,1019.6
25/08/2022,2.3,15.4,0,,,SSE,33,17:46,9,76,,N,17,1023.6,13.7,54,8,N,15,1023.1
26/08/2022,-1.3,16.9,0,,,WNW,28,11:34,8.4,74,,SE,9,1029.8,15.3,46,,N,11,1027.5
27/08/2022,-2.4,16.2,0.2,,,ENE,31,16:32,7,86,,SE,4,1032.1,14.4,55,,NE,20,1027.9
28/08/2022,6.6,18.7,0,,,NNW,30,14:39,11.5,74,,E,2,1030.5,17,47,,N,19,1026.8
29/08/2022,1.6,13.3,0,,,NW,35,23:55,7.7,100,,ESE,2,1026.4,11.9,92,,NNE,13,1022
30/08/2022,7.5,15.6,9.2,,,NW,57,11:20,12.5,63,,NW,31,1016,13.1,57,,WNW,30,1016.9
31/08/2022,2.9,16.7,0.2,,,ESE,24,19:29,10,92,,N,4,1025.9,16.3,55,,N,15,1023.8
