"Daily Weather Observations for Canberra, Australian Capital Territory for September 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Monday 20 March 2023   IDCJDW2801.202209,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/09/2022,1.8,17.8,0,,,N,35,13:06,10,95,, ,Calm,1024.8,16.5,48,,NW,17,1020.6
2/09/2022,2.8,14.6,0,,,S,41,21:43,8.5,89,,N,2,1024.2,13.4,50,,S,13,1022.2
3/09/2022,-0.6,14.1,0,,,SSE,41,10:25,7.1,60,,S,24,1027.7,13.3,48,,E,24,1025.5
4/09/2022,0.7,14.6,0,,,ESE,35,12:37,8.9,66,,S,24,1028.3,13.2,47,,E,19,1025.6
5/09/2022,-0.8,14.8,0,,,SSE,30,14:36,8.2,77,,SW,7,1025.4,13.1,40,,ESE,15,1022.5
6/09/2022,-0.7,15.4,0,,,E,39,17:56,8.3,69,,SSW,13,1026.8,14.8,44,8,NE,17,1023.2
7/09/2022,6.3,16.7,0,,,E,28,10:28,10.4,71,8,SE,7,1025.7,15.4,45,7,NNE,17,1020.7
8/09/2022,8.5,17.1,2.4,,,NE,39,17:05,11.8,79,8, ,Calm,1019.9,16.3,59,8,NE,17,1014.1
9/09/2022,9.8,14.5,15.6,,,NNW,50,19:35,11,99,8,N,7,1012.6,12.8,74,8,NW,24,1010.1
10/09/2022,7.6,18.2,3.6,,,W,37,12:55,11.8,85,8,NW,9,1009.8,16.5,51,,WNW,24,1007.8
11/09/2022,4,15.1,0,,,NNW,52,13:30,9.8,60,,NNW,17,1015.6,13.4,42,,NW,30,1013.4
12/09/2022,-0.5,,0,,,,,,9.8,64,,NW,20,1019.1,12.7,57,6,WNW,28,1017.4
13/09/2022,0.1,14.7,0,,,E,31,18:20,8.2,65,,SSE,13,1026.7,13.8,32,1,SW,9,1025.2
14/09/2022,-0.9,15.3,0,,,NE,31,10:26,7.7,74,7,WSW,6,1028.9,14.9,33,,NNE,15,1023.3
15/09/2022,5.8,13.2,3.2,,,SW,15,21:17,9.9,89,8, ,Calm,1017.2,11.1,94,8,NE,6,1010.5
16/09/2022,5.9,17.3,8.6,,,NW,54,15:20,12.9,77,8,NW,28,1005.6,15.3,51,8,NW,41,1004.1
17/09/2022,6.8,13.7,3.4,,,NW,59,13:41,9.4,74,7,NW,28,1006.1,13,50,8,NW,39,1004.6
18/09/2022,6.5,14.5,6.2,,,NW,63,13:17,11.4,66,6,WNW,28,1010.4,12.3,55,4,NW,37,1010.2
19/09/2022,6.2,15,0.2,,,NW,50,3:40,11.1,59,,WNW,30,1015.3,14.2,40,,WNW,30,1015
20/09/2022,-2,18.6,0,,,NNW,30,12:51,8.5,75,,W,4,1023.4,18.3,33,,N,7,1019.2
21/09/2022,3.1,17.9,0,,,NNE,33,12:13,11.4,89,8,N,2,1019.4,16.9,58,8,NE,20,1016.2
22/09/2022,10.7,17.1,1.6,,,ENE,39,10:15,15.2,80,8,E,19,1019.9,16.5,67,8,E,17,1018.2
23/09/2022,11.2,19.9,0.4,,,NNW,31,15:41,14.5,80,8,SE,2,1017.8,19.4,57,8,NW,19,1013.3
24/09/2022,10.1,17.9,9,,,W,44,16:02,12.3,68,5,SSE,19,1012.9,16.2,53,4,NNW,17,1009.9
25/09/2022,0.5,16.8,0.2,,,N,41,15:16,7.7,89,7,WSW,4,1017.6,15.9,44,,NNW,30,1014.6
26/09/2022,3,19,0,,,NW,31,16:37,11.2,73,3,NW,2,1018.3,18.1,43,8,NNW,15,1014.3
27/09/2022,9.3,18,5.2,,,WNW,50,17:12,12.2,94,8,NNW,15,1014,15.6,65,8,N,15,1011.2
28/09/2022,7.4,14.2,8.4,,,N,37,7:53,7.4,93,8,ESE,6,1013.9,13.6,70,8,SE,13,1013.2
29/09/2022,6.4,17.6,3.4,,,SSW,54,13:24,13.6,72,8,S,28,1021.1,16.3,60,8,SSE,24,1021.2
30/09/2022,4.1,17.5,0,,,ESE,41,13:36,11.7,66,8,SSE,22,1027.9,14.8,59,8,ESE,22,1025.4
