"Daily Weather Observations for Canberra, Australian Capital Territory for October 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Thursday  6 April 2023   IDCJDW2801.202210,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/10/2022,7.7,14.7,0.4,,,E,31,10:02,11,70,8,ESE,20,1025.9,13.6,55,8,SW,9,1020.5
2/10/2022,4.1,18.4,0.6,,,E,31,18:30,9,70,,SSW,9,1020.4,16.8,43,2,NNE,7,1016.2
3/10/2022,2.3,19.2,0,,,NW,31,16:07,8.8,91,8,ENE,2,1022.7,18.8,45,1,NW,13,1018.2
4/10/2022,4.1,19,0,,,ESE,41,22:30,10.4,83,8, ,Calm,1022.7,18.4,45,8,E,7,1020.4
5/10/2022,9.3,12,2.2,,,E,33,15:29,10.6,90,7,ESE,7,1027.5,10.8,94,8,ESE,15,1024.6
6/10/2022,8.6,15.7,25.2,,,ESE,24,23:06,10.4,99,7,SE,11,1023.1,14,89,8,SW,9,1019.8
7/10/2022,6.7,15.2,2.8,,,NE,26,15:23,13,96,8,SSE,6,1015.4,14.3,99,7, ,Calm,1013.2
8/10/2022,11.7,19,19.6,,,NNW,30,12:11,14.9,85,1,N,11,1015.4,14.9,87,8,N,19,1014.3
9/10/2022,4.2,13.3,34.8,,,S,39,0:27,7.1,67,7,S,26,1020.7,11.2,57,8,WNW,15,1020.1
10/10/2022,2.2,16.4,0,,,E,33,18:47,7.4,73,7,ESE,11,1026.7,14.9,46,1,ENE,11,1023.3
11/10/2022,7,18.6,0,,,ENE,31,19:28,11.1,67,6,E,9,1025.3,18,48,6,N,17,1021
12/10/2022,9.8,18.9,0,,,NE,33,17:31,13.6,72,,SW,7,1023.5,18.2,55,8,ENE,20,1020.2
13/10/2022,10.6,18.1,0,,,ENE,37,12:41,13.6,71,8,E,13,1019.5,16.9,59,8,ENE,24,1014.4
14/10/2022,11.5,15.7,12.8,,,WNW,56,12:11,12.2,66,,WNW,31,1009.1,13.7,63,3,WNW,33,1011.3
15/10/2022,4.2,18.7,0.8,,,N,39,13:13,11.8,80,,ENE,6,1018.6,17.1,46,5,N,26,1016.9
16/10/2022,2.8,18.5,0,,,ESE,37,21:31,10.5,77,6,N,6,1020,17.9,47,1,NNE,13,1017.3
17/10/2022,4.9,16.8,0,,,NE,28,14:58,11.3,69,7,SE,9,1022.7,15.5,56,8,N,9,1020.8
18/10/2022,8.5,19.8,0,,,NNE,24,11:38,12.6,78,7,ESE,9,1021.3,19,53,8,NW,6,1017.6
19/10/2022,6.9,23,0.2,,,E,37,18:34,15.1,82,,S,11,1018.9,21.8,52,8,E,26,1016.2
20/10/2022,11.3,20.7,0,,,ESE,39,15:31,16.7,69,1,ESE,15,1018.2,19.7,63,8,ESE,22,1016
21/10/2022,15.1,22.7,0.8,,,NE,35,12:16,17.7,83,7,NE,9,1015.5,21.5,62,8,NE,24,1010.8
22/10/2022,12.8,21.1,23,,,N,37,11:09,15.6,99,8,NNE,13,1012.5,18.4,91,8,N,24,1010
23/10/2022,12.9,20.1,31,,,ESE,37,17:29,15.9,93,8,SE,9,1014.5,17.8,80,8,ESE,19,1013.2
24/10/2022,13.7,19.1,0.4,,,ESE,41,11:50,15.9,81,8,ESE,15,1014.4,18.2,70,8,SE,24,1010.1
25/10/2022,13.2,22.7,2.6,,,NNW,48,12:45,17.2,84,8, ,Calm,1006.1,21.1,50,6,NNW,30,1002.7
26/10/2022,12.4,20.6,2.4,,,W,59,13:56,14.8,99,8,NNW,19,1002.6,18.6,64,8,WNW,35,1000.7
27/10/2022,10.7,20.1,0.4,,,W,63,13:36,15.4,78,8,NNW,30,1002.5,16.4,81,4,WNW,17,1000.9
28/10/2022,10.8,15.6,3.4,,,W,74,13:08,12.3,52,8,WNW,33,1003.4,14.1,51,5,W,43,1001.7
29/10/2022,8.5,17,0,,,WNW,56,11:49,11.3,59,1,WNW,28,1005.5,15.7,43,2,WNW,30,1004.9
30/10/2022,2.3,18.9,0,,,NNW,46,17:10,12.2,67,,NNW,9,1010.9,18.3,49,3,NW,17,1008.4
31/10/2022,11,18,2.8,,,N,80,22:34,15.5,87,8,NNW,28,1001.2,15.8,96,8,N,24,995.4
