"Daily Weather Observations for Canberra, Australian Capital Territory for November 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Wednesday  5 April 2023   IDCJDW2801.202211,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/11/2022,8.5,13.9,40.4,,,NNW,80,23:13,10,84,8,NW,31,991.8,11.2,69,7,NW,28,992
2/11/2022,4.3,13.3,3.2,,,WNW,52,12:31,7.7,62,1,WNW,28,1001.8,11.7,47,1,WNW,33,1005.7
3/11/2022,5.5,17.2,0,,,W,41,13:24,11.1,67,4,NW,19,1014.5,15.2,49,8,NW,22,1015.2
4/11/2022,6.3,19.7,0,,,E,30,19:34,11.5,71,,W,9,1025.8,18.1,45,8,NW,11,1024.4
5/11/2022,10.6,20.7,0,,,N,24,14:54,13.8,69,8,ESE,13,1028.3,19.7,43,6,N,11,1024.9
6/11/2022,6.2,23.2,0,,,W,33,12:11,15.2,75,,SSE,7,1025.4,22.2,39,1,W,17,1021.5
7/11/2022,8.7,23.3,0,,,SSW,48,13:37,16.2,66,,S,7,1022.2,14.5,81,8,SSW,28,1020
8/11/2022,7.6,23,9,,,N,28,14:42,15.1,72,,SSW,9,1021,22,44,1,WNW,7,1018
9/11/2022,9,24,0.2,,,E,35,16:00,15.7,73,,SW,7,1022,22.9,46,8,NE,17,1018.8
10/11/2022,8.2,23,0,,,NE,37,10:27,14.2,65,,NE,9,1021.9,22.1,37,,NNE,13,1017.1
11/11/2022,9.4,22,0,,,NNW,35,10:51,17.1,70,8,N,9,1013.9,19.8,69,8,NW,15,1011.4
12/11/2022,10.5,26.8,0,,,E,50,17:58,19.6,72,,SW,2,1012,25.8,42,3,NNW,20,1009.6
13/11/2022,14.8,23.3,14.4,,,NNW,50,10:40,15.7,100,8,ENE,11,1008.6,21.2,75,8,NW,17,1003.9
14/11/2022,11.9,19,21,,,WNW,65,9:51,15.2,67,8,NW,41,999.8,16.6,56,8,WNW,39,1001.1
15/11/2022,10.1,17,1.2,,,NW,50,13:59,13.6,64,1,NNW,20,1007.4,14.6,45,6,NW,35,1007
16/11/2022,3,14.5,0,,,WSW,48,8:57,9.2,62,8,WNW,17,1009.1,12.7,41,,W,17,1009.1
17/11/2022,3.3,18.2,0.6,,,S,35,8:51,9.8,52,,S,20,1014.3,16.8,36,,S,15,1012.3
18/11/2022,2.6,21.1,0,,,NNE,30,15:50,12.2,59,,SSE,7,1015.8,19.8,36,1,NE,13,1011.3
19/11/2022,7.8,22.4,0,,,NW,39,15:10,13.2,75,8,SSE,4,1009.9,21,52,8,NW,22,1004.5
20/11/2022,11.7,18.3,6.2,,,WNW,70,14:48,15.1,67,4,WNW,33,997.1,17,40,,WNW,46,999.3
21/11/2022,8.3,12.9,2.2,,,WNW,74,17:16,10.4,55,1,WNW,43,1002.5,11.6,50,3,W,31,1002.5
22/11/2022,3.6,,1.8,,,,,,10.2,55,1,WNW,30,1010.8,14.3,60,,WNW,30,1011.3
23/11/2022,9,19.5,0,,,NW,50,14:43,14.4,62,,WNW,31,1012.8,18.4,51,1,WNW,31,1013.6
24/11/2022,4.4,22.9,0,,,NNW,48,14:52,13.7,65,,N,6,1018.1,21.9,51,7,N,26,1015.5
25/11/2022,5,24,0,,,WNW,50,15:52,13.8,79,,WNW,4,1018.3,23.2,34,,NW,30,1013.8
26/11/2022,5.6,24,0,,,N,37,14:35,14.2,66,,SSE,4,1014.9,22.8,43,6,N,22,1009.7
27/11/2022,10.2,25.2,0,,,NW,56,13:00,18.1,64,7,WSW,7,1003.9,23.7,41,8,NNW,31,1001.2
28/11/2022,7.8,21.7,0,,,NW,57,13:12,16.6,75,3,NNW,11,1006.2,20.5,44,1,NW,31,1004.5
29/11/2022,5,22.1,0,,,E,46,17:32,15.2,52,,W,15,1011.6,21.2,42,,N,15,1011.1
30/11/2022,11.6,23.8,0,,,E,35,17:12,13.3,72,8,NNE,9,1018.2,22.2,39,,NE,11,1013.1
