"Daily Weather Observations for Canberra, Australian Capital Territory for December 2022",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Tuesday  4 April 2023   IDCJDW2801.202212,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/12/2022,9.8,20.3,0,,,ENE,35,17:27,15.9,63,7,E,9,1016.6,18.9,54,8,E,19,1013.4
2/12/2022,9.5,21.2,0,,,NE,35,13:46,15.9,72,8,ESE,13,1016.6,19.5,55,8,NE,22,1014.2
3/12/2022,6.8,26.4,0,,,E,30,18:29,15.8,65,,NE,6,1017.7,25.1,46,4,NNE,9,1013.6
4/12/2022,8.9,28.1,0,,,NW,37,16:50,18.7,71,,NNW,7,1015.4,27.3,32,7,NE,13,1011.1
5/12/2022,9.8,27.7,0,,,NW,50,10:57,21.3,57,,NNW,19,1008,25.2,48,7,N,19,1003.2
6/12/2022,8.7,23.4,0,,,NNW,39,13:55,17.1,51,1,S,19,1006.7,22.6,40,8,NW,22,1004.1
7/12/2022,6,24.9,0,,,NW,50,11:42,16.9,60,,NE,7,1004.5,23,34,2,NNW,35,1001.7
8/12/2022,10.5,19.4,0,,,W,48,11:52,13.6,53,,WNW,19,1004.8,17.2,30,6,W,19,1005.4
9/12/2022,0.9,20.9,0,,,E,44,18:18,11.3,49,,SE,13,1013.1,19.7,33,2,SW,11,1010.5
10/12/2022,7.5,23,0,,,NNW,26,13:07,13,58,,ESE,7,1017.1,20.8,33,,W,9,1013.2
11/12/2022,7,28.4,0,,,NNW,48,13:43,14.7,75,,NNE,7,1011.4,25.6,34,3,WNW,28,1006.7
12/12/2022,14.2,18.8,20.6,,,W,72,13:52,14.4,92,8,N,33,1000.1,15.3,44,,W,43,999.8
13/12/2022,7.2,18.8,5.4,,,NW,48,9:03,12.7,65,2,NW,22,1008.7,16.8,42,2,WNW,26,1007.1
14/12/2022,7.9,16.3,0.2,,,WNW,52,12:13,11.5,45,3,WNW,26,1007.3,15.3,48,6,WNW,31,1006.3
15/12/2022,1.3,19,0.2,,,SSW,50,10:21,11.6,53,1,S,24,1008.9,17.9,37,,S,28,1007.9
16/12/2022,5.1,19,0.2,,,S,50,7:02,12.1,52,,S,26,1013.4,17.7,39,2,S,24,1013.3
17/12/2022,5.2,20.6,0,,,SSW,41,7:37,13.4,52,,S,28,1019.9,19.1,41,7,S,13,1018.1
18/12/2022,4.7,22.3,0,,,SSE,50,10:37,13.5,52,,S,30,1021.9,20.8,37,,SSE,17,1019.2
19/12/2022,6.1,22.3,0,,,SSE,39,6:05,13.7,55,,SSE,19,1024,21.4,35,,ESE,22,1020.5
20/12/2022,3.6,22.5,0,,,ENE,35,18:44,13.7,57,,SSE,11,1021.9,21.3,35,1,SE,13,1017.4
21/12/2022,8.1,24.7,0,,,ENE,41,18:35,14.5,65,6,N,7,1017.9,24.6,45,4,NNE,17,1012.5
22/12/2022,10.1,16.1,1,,,N,26,16:12,12.7,92,8,ESE,7,1014.5,15.9,85,8,NNW,13,1013.2
23/12/2022,8.8,27,5.6,,,NW,33,13:50,12.8,100,8,ENE,6,1012.3,25.3,39,4,NW,17,1008.6
24/12/2022,8.6,29.5,0,,,NW,41,10:42,20.7,64,,NW,11,1010.2,28.3,29,,WNW,26,1008.6
25/12/2022,10.3,31.7,0,,,W,35,10:38,19.2,68,,NNW,7,1015.2,30.3,27,,NW,11,1013.8
26/12/2022,13,33.6,0,,,E,50,15:43,23.3,59,,SSW,4,1021.5,31.1,30,4,SW,20,1018.1
27/12/2022,11.2,32.3,0.8,,,NE,35,14:49,22.6,51,,SE,9,1023.1,31.4,17,,ENE,19,1018.6
28/12/2022,9.3,32.7,0,,,WNW,50,12:50,21.6,46,,WNW,4,1015.4,31.4,23,,WNW,26,1010.7
29/12/2022,17.1,24.3,0,,,N,31,9:31,21,71,8,WNW,7,1015.5,21,68,7,NNE,15,1014.9
30/12/2022,14.5,21.6,13,,,ENE,35,13:08,18.8,79,8,ESE,9,1018.5,20.8,67,8,ENE,19,1016.3
31/12/2022,13.4,25.5,0,,,E,37,18:53,18.8,72,8,E,15,1016.1,23.8,49,8,NE,9,1013.4
