"Daily Weather Observations for Canberra, Australian Capital Territory for January 2023",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Monday  3 April 2023   IDCJDW2801.202301,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/01/2023,15.7,27.3,0,,,E,35,18:44,19.5,72,8,ESE,7,1015.8,25.2,50,8,N,13,1011.9
2/01/2023,17.4,30.5,0.8,,,WNW,43,14:43,20.8,68,4,ESE,4,1012.1,28.9,42,8,W,24,1006.7
3/01/2023,12.2,32.4,0,,,ESE,48,16:56,20.9,70,, ,Calm,1006.1,30.8,33,2,NNW,22,1001.5
4/01/2023,14.9,24.9,0.8,,,ENE,46,15:13,18.4,81,7,ENE,9,1003.7,23.7,59,8,ESE,17,1001.1
5/01/2023,12.4,19.2,27.4,,,S,44,8:46,14.1,71,8,S,26,1010.1,17.5,49,7,SSE,20,1009.9
6/01/2023,9.6,20.8,0,,,ESE,48,18:33,15.9,65,1,SSE,24,1012.6,19.5,53,5,SE,24,1013.4
7/01/2023,7.8,22,0,,,ENE,35,13:23,15.1,60,8,S,15,1015,21,49,2,ENE,24,1012.5
8/01/2023,5.6,27.8,0,,,ENE,31,18:11,14.8,60,,E,7,1014.1,25.3,29,,SSW,9,1010.5
9/01/2023,9.1,32.3,0,,,SSW,43,14:40,18.1,68,,W,7,1012,31,17,,S,24,1009.4
10/01/2023,9.7,29.8,0,,,ENE,43,17:07,20.6,50,,S,6,1013.5,27.9,37,2,ENE,22,1011.2
11/01/2023,10.7,30.2,0,,,ENE,39,19:05,17,67,8,ESE,11,1015,27.2,35,,NNW,9,1011
12/01/2023,17,32.9,0,,,E,44,20:40,20.6,70,5,ESE,11,1014.8,31.2,28,1,NNE,11,1011.9
13/01/2023,14.2,30.7,0,,,E,41,18:05,21.6,66,,NE,11,1017.6,29.5,41,1,NNE,15,1014.2
14/01/2023,18.1,29.7,0,,,N,35,14:34,21.2,61,1,ENE,7,1018.4,29.2,39,1,NNE,19,1014.1
15/01/2023,12.8,33.2,0,,,SSE,93,15:45,20.7,73,,WNW,9,1016.4,32.5,30,2,WNW,17,1012.8
16/01/2023,16.7,26.8,6.2,,,ENE,33,16:53,20.1,77,8,NE,17,1021.3,25.6,49,7,NE,19,1019.7
17/01/2023,13.8,30.5,0,,,NE,28,11:40,20.2,67,,SE,9,1019.9,29.2,29,,NNE,13,1015.4
18/01/2023,13.9,31.3,0,,,W,50,13:47,18.8,87,8,NNE,7,1011.1,24.7,59,8,W,35,1007.4
19/01/2023,12.6,20.8,2.8,,,ENE,41,18:15,13,75,8,SSE,17,1009.6,19.9,53,8,SSE,13,1009.4
20/01/2023,6.2,21.7,0,,,ENE,41,18:24,14.3,69,8,SSE,13,1016.1,20,47,8,ESE,15,1014.5
21/01/2023,6.5,25.3,0,,,ENE,39,15:23,15.9,65,4,SSE,13,1017,23.4,35,,ENE,11,1012.8
22/01/2023,11.4,23,0,,,ENE,50,13:34,18,68,8,ESE,13,1015.4,19.9,59,8,E,33,1013.9
23/01/2023,11.3,24.8,0.4,,,S,52,18:45,17.6,71,8,S,11,1013.9,24.5,43,6,NE,17,1010.3
24/01/2023,9.5,29.1,11,,,W,39,16:13,13.6,100,8,ENE,4,1012,28.7,34,2,W,15,1008.3
25/01/2023,11,29.4,0,,,WNW,33,14:44,18.8,67,,E,7,1012.6,29.1,30,1,WNW,17,1010.1
26/01/2023,10.2,33.6,0,,,E,59,19:13,18.4,81,, ,Calm,1013.4,32.5,25,8,WNW,28,1010.1
27/01/2023,16.2,27.3,0,,,ENE,35,18:26,18.3,73,8,SE,9,1015.8,26.2,53,3,N,15,1013.4
28/01/2023,16.9,34.8,0,,,WNW,41,13:42,21.9,71,,NNE,4,1013.4,33.7,22,,WNW,20,1009.1
29/01/2023,19.6,24.2,0.8,,,N,24,20:21,20.8,98,8,ESE,9,1013.5,23.6,70,8,NW,9,1012.9
30/01/2023,17.6,21.3,14.6,,,E,26,18:53,19.2,99,8,N,9,1010.3,19.4,99,8,SSE,9,1008.1
31/01/2023,15.6,27.6,17.2,,,E,30,18:21,20.1,70,7,SSW,19,1006.2,26.5,51,5,E,6,1002.7
