"Daily Weather Observations for Canberra, Australian Capital Territory for February 2023",,,,,,,,,,,,,,,,,,,,
Prepared at 16:00 UTC on Sunday  2 April 2023   IDCJDW2801.202302,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/02/2023,14.5,29.6,0.2,,,WNW,41,15:57,18.6,80,8,NNW,6,1003.2,28.9,22,,W,20,999.7
2/02/2023,11.9,27.4,0,,,NNW,65,15:14,17.4,78,,N,11,998.9,25.9,33,5,NW,35,993.3
3/02/2023,10.2,18.8,0,,,NW,54,11:24,12.5,58,8,WNW,28,994.2,17.2,36,7,WNW,30,995.5
4/02/2023,7.3,19.4,0,,,WNW,61,11:36,12.6,57,1,NNW,17,1003.5,17.4,45,1,WNW,39,1005
5/02/2023,10.9,27.9,0,,,ENE,37,19:42,16.4,60,,NNW,13,1014.3,26.8,26,,WNW,15,1012.7
6/02/2023,12.6,29.8,0,,,E,41,18:21,18.7,69,1,NNE,7,1017.4,28,29,,N,13,1014.3
7/02/2023,15.3,28.5,0,,,E,50,17:24,19.8,76,8,ENE,7,1015.9,27.1,40,,WSW,9,1012.6
8/02/2023,13.9,23.4,0,,,ENE,37,12:52,17.9,75,8,SSE,7,1015.5,22.1,61,7,E,22,1013.5
9/02/2023,15.1,22.8,4.4,,,E,44,2:32,17.5,95,8,SSW,7,1012,20.3,71,8,WNW,9,1009.8
10/02/2023,10,29.9,2.6,,,NW,37,14:01,16,90,2,SSE,2,1008.6,28.6,33,7,WNW,22,1004.7
11/02/2023,11.8,33.9,4.2,,,WNW,54,13:41,17.8,77,4, ,Calm,1006.4,32.6,25,1,NW,30,1001.6
12/02/2023,10.2,29.8,0,,,ENE,44,17:37,18.4,61,,SE,6,1004.5,28.6,35,,W,13,1003.5
13/02/2023,14.5,24,0.6,,,ESE,41,19:11,14.7,94,8,SSE,13,1010.4,23,58,6,ENE,11,1008.2
14/02/2023,10.9,23.6,14.6,,,ENE,37,17:34,14.1,91,8,SE,7,1012.6,22.3,54,8,NE,9,1011.4
15/02/2023,12.1,28.3,0,,,ENE,35,18:56,17.5,71,1,S,6,1016.3,26.1,38,,NW,13,1013.2
16/02/2023,11.5,31.4,0,,,E,35,19:28,18.5,71,,SE,6,1017.7,30.4,37,2,NW,17,1013.9
17/02/2023,14.1,33.7,0,,,S,39,16:31,20,65,7, ,Calm,1016.4,32.8,25,,SSW,13,1013
18/02/2023,15.5,36.1,0,,,NW,50,13:06,22.4,62,,SE,4,1014,32.6,30,5,NW,28,1009.2
19/02/2023,9.2,30.8,0,,,ENE,33,18:47,18.8,60,,S,9,1018.8,29.1,28,,NNE,13,1016.2
20/02/2023,13.7,33.5,0,,,ESE,35,19:43,18,99,8,NNW,2,1020,32.2,23,,WNW,19,1017.2
21/02/2023,17.9,29.7,0,,,S,87,14:06,22.8,71,,SSE,9,1022,18.1,86,8,SSW,35,1020.8
22/02/2023,14.3,20.7,27.6,,,ESE,46,12:56,16.4,67,8,ESE,22,1026.6,20.2,46,8,ESE,28,1025.2
23/02/2023,9.7,22.5,0.2,,,E,35,18:19,14.4,78,8,S,9,1023.9,21.2,47,7,ENE,11,1022
24/02/2023,7.6,25,0,,,NE,30,12:02,14.8,82,,SSW,6,1021.6,23.6,41,1,NNE,17,1017.9
25/02/2023,9.6,27.8,0,,,N,28,15:53,16.1,77,,SSE,9,1017.5,26.1,37,,SSW,6,1013
26/02/2023,10.6,30.3,0,,,NW,59,15:26,19.6,59,3,E,4,1012.3,28,33,6,WNW,28,1008.5
27/02/2023,13,28.3,0,,,E,43,17:49,17.5,81,1, ,Calm,1012.3,26.6,30,,W,13,1009.7
28/02/2023,15.9,28.5,0,,,WNW,31,15:08,18.8,72,8,ENE,7,1012.1,27,42,1,W,17,1006.9
