"Daily Weather Observations for Canberra, Australian Capital Territory for March 2023",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Sunday  2 April 2023   IDCJDW2801.202303,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum_temperature,Maximum_temperature,Rainfall_(mm),Evaporation_(mm),Sunshine_(hours),Direction_of_maximum_wind_gust,Speed_of_maximum_wind_gust_(km/h),Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity_(%),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_Temperature,3pm_relative_humidity_(%),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
1/03/2023,12.2,27.2,0,,,E,39,19:21,17.5,93,3, ,Calm,1007.2,26.7,33,,SSW,13,1007.2
2/03/2023,14.7,28.4,0,,,E,35,19:34,18.3,74,7,SSE,7,1013.8,26.1,38,,NW,9,1010.4
3/03/2023,16.5,25.8,0,,,E,44,17:06,18.7,73,8,ESE,17,1016.5,25.1,50,1,ENE,20,1015.2
4/03/2023,11.3,25.9,0,,,NNE,35,16:51,18.2,70,2,SSE,9,1017.4,25.2,47,8,NE,17,1013.8
5/03/2023,10.7,30.7,0,,,NW,52,14:47,15.1,95,8, ,Calm,1012,29.4,34,7,NNW,33,1006.9
6/03/2023,13.7,27.9,19.2,,,NW,52,13:25,20.1,76,,NNW,24,1003.4,27.1,37,,WNW,31,1003.8
7/03/2023,9.8,24.9,0.2,,,NNW,67,13:19,18.7,45,,NNW,28,1007.4,23.6,27,,NW,43,1005.2
8/03/2023,12.2,21.4,0,,,WNW,50,13:50,16.5,52,,NW,19,1005.2,19.1,43,3,WNW,33,1005.4
9/03/2023,9.8,22.9,0,,,WNW,37,8:33,14,50,,WNW,19,1009.8,21.5,34,,NNW,24,1008.7
10/03/2023,3.9,26.4,0,,,E,31,19:45,11.4,71,,SE,7,1017.2,24.4,29,,W,11,1013.4
11/03/2023,11.1,27.5,0,,,NW,50,12:18,16.7,94,2, ,Calm,1014.2,26.7,26,1,NW,28,1011
12/03/2023,11.1,27.8,0,,,E,41,16:41,17.3,75,1,S,7,1012.3,26.8,26,1,W,9,1009.5
13/03/2023,13.3,24.7,0,,,ESE,39,13:23,16.9,61,,SSE,17,1017.3,21.9,48,8,SE,22,1016.1
14/03/2023,10.9,24.2,0,,,NE,33,14:25,16.8,82,,ESE,7,1018.4,23,55,8,ENE,20,1015.2
15/03/2023,11.3,29.1,0,,,WNW,41,15:44,16.3,92,,ESE,9,1014.7,27.4,36,,NNE,11,1010.6
16/03/2023,10.6,30.6,0,,,NNW,59,11:45,17.2,79,,SSW,6,1011.1,29.6,25,,WNW,24,1008.3
17/03/2023,16.2,30.6,0,,,NNW,46,14:02,21.1,55,,NNW,20,1014,29.7,19,,NW,20,1013.3
18/03/2023,7.1,32.4,0,,,NNW,50,13:25,14.6,70,, ,Calm,1019.3,31.5,20,,NW,26,1016.8
19/03/2023,10.2,37.4,0,,,NNW,43,13:35,16.8,63,, ,Calm,1020,36.6,12,,WNW,30,1016.7
20/03/2023,13.6,22.1,0,,,ESE,39,15:22,17.9,75,8,SSE,13,1023.8,20.9,60,8,E,24,1024.1
21/03/2023,12.9,18.6,0,,,ENE,35,7:53,15.7,71,8,E,22,1029,17,64,8,NE,19,1026.5
22/03/2023,12.4,22,1.6,,,NW,33,14:52,14.1,93,8, ,Calm,1021.7,21.9,63,8,NW,19,1019.4
23/03/2023,9.7,21.1,0,,,NNW,33,8:33,13.3,100,8,WSW,7,1018.1,18.3,86,8,N,13,1015.7
24/03/2023,7.1,25.2,19.4,,,E,39,17:34,12.9,92,,SE,9,1018.6,24.1,43,6,NE,11,1015.2
25/03/2023,12.9,19.2,7.4,,,E,41,7:39,14.8,99,8,WNW,13,1018.2,16.6,91,4,E,13,1017.3
26/03/2023,14,24.1,3.6,,,NE,20,17:49,15.8,81,8,SSE,6,1017.5,23.4,55,4,WSW,11,1014.1
27/03/2023,15.3,23.8,11.4,,,WNW,39,14:18,17.5,99,8,NW,11,1012.8,23.2,68,8,NW,17,1011
28/03/2023,15.6,25.1,0,,,NNW,41,12:44,19,73,,N,13,1013.8,22.3,63,8,N,28,1011.5
29/03/2023,14.8,22.6,5.8,,,WNW,50,13:54,16.9,98,8,N,26,1005.1,18.1,68,8,WNW,39,1001.5
30/03/2023,8.2,20.1,8.8,,,W,50,14:20,11.8,89,4,N,9,1006.5,19.4,45,6,WNW,28,1005.2
31/03/2023,4.1,21.2,0,,,WNW,46,15:09,11.3,78,, ,Calm,1011.1,20.3,46,3,NW,28,1009.1
